id,Tweet,Label,rm_special,remove_number,remove_p,tokens,stopword,remove_whitespace_LT,remove_whitespace_multiple,preprocess_tweet
1,"@alahsokap ya kan gua bilang tergantung kampus 
pas awal"" KM juga aman jir karna emg semakin banyak yg ikut program kampus merdeka itu bisa naikin akreditasi fakultas
setelah banyak yg minat tambah susah wkwk",Mendukung,"ya kan gua bilang tergantung kampus pas awal"" KM juga aman jir karna emg semakin banyak yg ikut program kampus merdeka itu bisa naikin akreditasi fakultas setelah banyak yg minat tambah susah wkwk","ya kan gua bilang tergantung kampus pas awal"" KM juga aman jir karna emg semakin banyak yg ikut program kampus merdeka itu bisa naikin akreditasi fakultas setelah banyak yg minat tambah susah wkwk",ya kan gua bilang tergantung kampus pas awal KM juga aman jir karna emg semakin banyak yg ikut program kampus merdeka itu bisa naikin akreditasi fakultas setelah banyak yg minat tambah susah wkwk,"['ya', 'kan', 'gua', 'bilang', 'tergantung', 'kampus', 'pas', 'awal', 'KM', 'juga', 'aman', 'jir', 'karna', 'emg', 'semakin', 'banyak', 'yg', 'ikut', 'program', 'kampus', 'merdeka', 'itu', 'bisa', 'naikin', 'akreditasi', 'fakultas', 'setelah', 'banyak', 'yg', 'minat', 'tambah', 'susah', 'wkwk']",ya gua bilang tergantung kampus pas km aman jir karna emg yg program kampus merdeka naikin akreditasi fakultas yg minat,ya gua bilang tergantung kampus pas km aman jir karna emg yg program kampus merdeka naikin akreditasi fakultas yg minat,ya gua bilang tergantung kampus pas km aman jir karna emg yg program kampus merdeka naikin akreditasi fakultas yg minat,ya gua bilang gantung kampus pas km aman jir karna emg yg program kampus merdeka naikin akreditasi fakultas yg minat
2,"@fraijours @PeachPluffy Kak saya juga mengikuti program Bangkit dan salah melampirkan file SPTJM di Kampus Merdeka, kemudian saya merevisi SR dan SPTJM di gform document-revision, nah apakah masih ada harapan untuk mendapat email tersebut kak?",Mendukung,Kak saya juga mengikuti program Bangkit dan salah melampirkan file SPTJM di Kampus Merdeka kemudian saya merevisi SR dan SPTJM di gform document revision nah apakah masih ada harapan untuk mendapat email tersebut kak?,Kak saya juga mengikuti program Bangkit dan salah melampirkan file SPTJM di Kampus Merdeka kemudian saya merevisi SR dan SPTJM di gform document revision nah apakah masih ada harapan untuk mendapat email tersebut kak?,Kak saya juga mengikuti program Bangkit dan salah melampirkan file SPTJM di Kampus Merdeka kemudian saya merevisi SR dan SPTJM di gform document revision nah apakah masih ada harapan untuk mendapat email tersebut kak,"['Kak', 'saya', 'juga', 'mengikuti', 'program', 'Bangkit', 'dan', 'salah', 'melampirkan', 'file', 'SPTJM', 'di', 'Kampus', 'Merdeka', 'kemudian', 'saya', 'merevisi', 'SR', 'dan', 'SPTJM', 'di', 'gform', 'document', 'revision', 'nah', 'apakah', 'masih', 'ada', 'harapan', 'untuk', 'mendapat', 'email', 'tersebut', 'kak']",kak mengikuti program bangkit salah melampirkan file sptjm kampus merdeka merevisi sr sptjm gform document revision harapan email kak,kak mengikuti program bangkit salah melampirkan file sptjm kampus merdeka merevisi sr sptjm gform document revision harapan email kak,kak mengikuti program bangkit salah melampirkan file sptjm kampus merdeka merevisi sr sptjm gform document revision harapan email kak,kak ikut program bangkit salah lampir file sptjm kampus merdeka revisi sr sptjm gform document revision harap email kak
3,"@miegacoans @convomfs 3. Kalau masih kupu"" juga, deket ama dosen haha karna fun fact, mereka tetep ada subjective nya, temen aku yang angkatan pertama exchange ke bali tapi self funded tu karna dia dikenal dosen, untung aku sabar dan ga lama ada program Permata Sakti kampus merdeka yg full funded 😄",Mendukung,"3. Kalau masih kupu"" juga deket ama dosen haha karna fun fact mereka tetep ada subjective nya temen aku yang angkatan pertama exchange ke bali tapi self funded tu karna dia dikenal dosen untung aku sabar dan ga lama ada program Permata Sakti kampus merdeka yg full funded ?",". Kalau masih kupu"" juga deket ama dosen haha karna fun fact mereka tetep ada subjective nya temen aku yang angkatan pertama exchange ke bali tapi self funded tu karna dia dikenal dosen untung aku sabar dan ga lama ada program Permata Sakti kampus merdeka yg full funded ?", Kalau masih kupu juga deket ama dosen haha karna fun fact mereka tetep ada subjective nya temen aku yang angkatan pertama exchange ke bali tapi self funded tu karna dia dikenal dosen untung aku sabar dan ga lama ada program Permata Sakti kampus merdeka yg full funded ,"['Kalau', 'masih', 'kupu', 'juga', 'deket', 'ama', 'dosen', 'haha', 'karna', 'fun', 'fact', 'mereka', 'tetep', 'ada', 'subjective', 'nya', 'temen', 'aku', 'yang', 'angkatan', 'pertama', 'exchange', 'ke', 'bali', 'tapi', 'self', 'funded', 'tu', 'karna', 'dia', 'dikenal', 'dosen', 'untung', 'aku', 'sabar', 'dan', 'ga', 'lama', 'ada', 'program', 'Permata', 'Sakti', 'kampus', 'merdeka', 'yg', 'full', 'funded']",kupu deket ama dosen haha karna fun fact tetep subjective nya temen angkatan exchange bali self funded tu karna dikenal dosen untung sabar ga program permata sakti kampus merdeka yg full funded,kupu deket ama dosen haha karna fun fact tetep subjective nya temen angkatan exchange bali self funded tu karna dikenal dosen untung sabar ga program permata sakti kampus merdeka yg full funded,kupu deket ama dosen haha karna fun fact tetep subjective nya temen angkatan exchange bali self funded tu karna dikenal dosen untung sabar ga program permata sakti kampus merdeka yg full funded,kupu deket ama dosen haha karna fun fact tetep subjective nya temen angkat exchange bal self funded tu karna kenal dosen untung sabar ga program permata sakti kampus merdeka yg full funded
4,@uknowrav Diantara sekian banyak program kampus merdeka kenapa sih pmm tuh yang paling [sebagian text menghilang] 😭😭😭😭,Mendukung,Diantara sekian banyak program kampus merdeka kenapa sih pmm tuh yang paling [sebagian text menghilang] ????,Diantara sekian banyak program kampus merdeka kenapa sih pmm tuh yang paling [sebagian text menghilang] ????,Diantara sekian banyak program kampus merdeka kenapa sih pmm tuh yang paling sebagian text menghilang ,"['Diantara', 'sekian', 'banyak', 'program', 'kampus', 'merdeka', 'kenapa', 'sih', 'pmm', 'tuh', 'yang', 'paling', 'sebagian', 'text', 'menghilang']",sekian program kampus merdeka sih pmm tuh text menghilang,sekian program kampus merdeka sih pmm tuh text menghilang,sekian program kampus merdeka sih pmm tuh text menghilang,sekian program kampus merdeka sih pmm tuh text hilang
5,"tp ada saat dimana gua bersyukur banget dan berasa dibutuhin. pas ikut kampus merdeka kemarin, temen gua sampe berkali kali bilang makasih ke gua karna udah bantu dia selama masa program 😭 gua terharuu banget serius 😭 kayak ""ternyata ada orang yg ngerasa gua berguna buat dia""😭",Mendukung,"tp ada saat dimana gua bersyukur banget dan berasa dibutuhin. pas ikut kampus merdeka kemarin temen gua sampe berkali kali bilang makasih ke gua karna udah bantu dia selama masa program ? gua terharuu banget serius ? kayak ""ternyata ada orang yg ngerasa gua berguna buat dia""?","tp ada saat dimana gua bersyukur banget dan berasa dibutuhin. pas ikut kampus merdeka kemarin temen gua sampe berkali kali bilang makasih ke gua karna udah bantu dia selama masa program ? gua terharuu banget serius ? kayak ""ternyata ada orang yg ngerasa gua berguna buat dia""?",tp ada saat dimana gua bersyukur banget dan berasa dibutuhin pas ikut kampus merdeka kemarin temen gua sampe berkali kali bilang makasih ke gua karna udah bantu dia selama masa program  gua terharuu banget serius  kayak ternyata ada orang yg ngerasa gua berguna buat dia,"['tp', 'ada', 'saat', 'dimana', 'gua', 'bersyukur', 'banget', 'dan', 'berasa', 'dibutuhin', 'pas', 'ikut', 'kampus', 'merdeka', 'kemarin', 'temen', 'gua', 'sampe', 'berkali', 'kali', 'bilang', 'makasih', 'ke', 'gua', 'karna', 'udah', 'bantu', 'dia', 'selama', 'masa', 'program', 'gua', 'terharuu', 'banget', 'serius', 'kayak', 'ternyata', 'ada', 'orang', 'yg', 'ngerasa', 'gua', 'berguna', 'buat', 'dia']",tp dimana gua bersyukur berasa dibutuhin pas kampus merdeka kemarin temen gua sampe berkali kali bilang makasih gua karna udah bantu program gua terharuu serius kayak orang yg ngerasa gua berguna,tp dimana gua bersyukur berasa dibutuhin pas kampus merdeka kemarin temen gua sampe berkali kali bilang makasih gua karna udah bantu program gua terharuu serius kayak orang yg ngerasa gua berguna,tp dimana gua bersyukur berasa dibutuhin pas kampus merdeka kemarin temen gua sampe berkali kali bilang makasih gua karna udah bantu program gua terharuu serius kayak orang yg ngerasa gua berguna,tp mana gua syukur asa dibutuhin pas kampus merdeka kemarin temen gua sampe kali kali bilang makasih gua karna udah bantu program gua terharuu serius kayak orang yg ngerasa gua guna
6,"@Fakhrud56550643 @myskill_id Gini ya kak
Program kampus merdeka emang di sediakan oleh pemerintah
Tapi Masi ada banyak batasn
Kyk program studi kesehatan ga semua bisa ikut kampus merdeka
Beberapa kampus ga dukung dan ga membuka kerjasama ini dilakukan mahasiswa nya",Mendukung,_id Gini ya kak Program kampus merdeka emang di sediakan oleh pemerintah Tapi Masi ada banyak batasn Kyk program studi kesehatan ga semua bisa ikut kampus merdeka Beberapa kampus ga dukung dan ga membuka kerjasama ini dilakukan mahasiswa nya,_id Gini ya kak Program kampus merdeka emang di sediakan oleh pemerintah Tapi Masi ada banyak batasn Kyk program studi kesehatan ga semua bisa ikut kampus merdeka Beberapa kampus ga dukung dan ga membuka kerjasama ini dilakukan mahasiswa nya,id Gini ya kak Program kampus merdeka emang di sediakan oleh pemerintah Tapi Masi ada banyak batasn Kyk program studi kesehatan ga semua bisa ikut kampus merdeka Beberapa kampus ga dukung dan ga membuka kerjasama ini dilakukan mahasiswa nya,"['id', 'Gini', 'ya', 'kak', 'Program', 'kampus', 'merdeka', 'emang', 'di', 'sediakan', 'oleh', 'pemerintah', 'Tapi', 'Masi', 'ada', 'banyak', 'batasn', 'Kyk', 'program', 'studi', 'kesehatan', 'ga', 'semua', 'bisa', 'ikut', 'kampus', 'merdeka', 'Beberapa', 'kampus', 'ga', 'dukung', 'dan', 'ga', 'membuka', 'kerjasama', 'ini', 'dilakukan', 'mahasiswa', 'nya']",id gini ya kak program kampus merdeka sediakan pemerintah masi batasn kyk program studi kesehatan ga kampus merdeka kampus ga dukung ga membuka kerjasama mahasiswa nya,id gini ya kak program kampus merdeka sediakan pemerintah masi batasn kyk program studi kesehatan ga kampus merdeka kampus ga dukung ga membuka kerjasama mahasiswa nya,id gini ya kak program kampus merdeka sediakan pemerintah masi batasn kyk program studi kesehatan ga kampus merdeka kampus ga dukung ga membuka kerjasama mahasiswa nya,id gin ya kak program kampus merdeka sedia perintah mas batasn kyk program studi sehat ga kampus merdeka kampus ga dukung ga buka kerjasama mahasiswa nya
7,"@lanstudy_ @convomfs Ini masih ada kok programnya sampe sekarang, kampus merdeka yang pertukaran mahasiswa dalam negeri, kamu cari info ke bem atau hima nya deh, atau ke staff akademik di kampusmu. Dulu emang disebarluaskan kalau di kampus aku info program itu tu, abis itu ada tes dan interview nya",Mendukung,_ Ini masih ada kok programnya sampe sekarang kampus merdeka yang pertukaran mahasiswa dalam negeri kamu cari info ke bem atau hima nya deh atau ke staff akademik di kampusmu. Dulu emang disebarluaskan kalau di kampus aku info program itu tu abis itu ada tes dan interview nya,_ Ini masih ada kok programnya sampe sekarang kampus merdeka yang pertukaran mahasiswa dalam negeri kamu cari info ke bem atau hima nya deh atau ke staff akademik di kampusmu. Dulu emang disebarluaskan kalau di kampus aku info program itu tu abis itu ada tes dan interview nya, Ini masih ada kok programnya sampe sekarang kampus merdeka yang pertukaran mahasiswa dalam negeri kamu cari info ke bem atau hima nya deh atau ke staff akademik di kampusmu Dulu emang disebarluaskan kalau di kampus aku info program itu tu abis itu ada tes dan interview nya,"['Ini', 'masih', 'ada', 'kok', 'programnya', 'sampe', 'sekarang', 'kampus', 'merdeka', 'yang', 'pertukaran', 'mahasiswa', 'dalam', 'negeri', 'kamu', 'cari', 'info', 'ke', 'bem', 'atau', 'hima', 'nya', 'deh', 'atau', 'ke', 'staff', 'akademik', 'di', 'kampusmu', 'Dulu', 'emang', 'disebarluaskan', 'kalau', 'di', 'kampus', 'aku', 'info', 'program', 'itu', 'tu', 'abis', 'itu', 'ada', 'tes', 'dan', 'interview', 'nya']",programnya sampe kampus merdeka pertukaran mahasiswa negeri cari info bem hima nya deh staff akademik kampusmu disebarluaskan kampus info program tu tes interview nya,programnya sampe kampus merdeka pertukaran mahasiswa negeri cari info bem hima nya deh staff akademik kampusmu disebarluaskan kampus info program tu tes interview nya,programnya sampe kampus merdeka pertukaran mahasiswa negeri cari info bem hima nya deh staff akademik kampusmu disebarluaskan kampus info program tu tes interview nya,program sampe kampus merdeka tukar mahasiswa negeri cari info bem hima nya deh staff akademik kampus disebarluaskan kampus info program tu tes interview nya
8,"@collegemenfess Ikut program kampus merdeka, lumayan dapat uang jajan sama konversi sks ntar",Mendukung,Ikut program kampus merdeka lumayan dapat uang jajan sama konversi sks ntar,Ikut program kampus merdeka lumayan dapat uang jajan sama konversi sks ntar,Ikut program kampus merdeka lumayan dapat uang jajan sama konversi sks ntar,"['Ikut', 'program', 'kampus', 'merdeka', 'lumayan', 'dapat', 'uang', 'jajan', 'sama', 'konversi', 'sks', 'ntar']",program kampus merdeka lumayan uang jajan konversi sks ntar,program kampus merdeka lumayan uang jajan konversi sks ntar,program kampus merdeka lumayan uang jajan konversi sks ntar,program kampus merdeka lumayan uang jajan konversi sks ntar
9,"CEO tiktok konon pernah magang di kantor Facebook. 

Ga salah kemdikbudristek ambisius dengan program kampus merdeka.",Mendukung,CEO tiktok konon pernah magang di kantor Facebook. Ga salah kemdikbudristek ambisius dengan program kampus merdeka.,CEO tiktok konon pernah magang di kantor Facebook. Ga salah kemdikbudristek ambisius dengan program kampus merdeka.,CEO tiktok konon pernah magang di kantor Facebook Ga salah kemdikbudristek ambisius dengan program kampus merdeka,"['CEO', 'tiktok', 'konon', 'pernah', 'magang', 'di', 'kantor', 'Facebook', 'Ga', 'salah', 'kemdikbudristek', 'ambisius', 'dengan', 'program', 'kampus', 'merdeka']",ceo tiktok konon magang kantor facebook ga salah kemdikbudristek ambisius program kampus merdeka,ceo tiktok konon magang kantor facebook ga salah kemdikbudristek ambisius program kampus merdeka,ceo tiktok konon magang kantor facebook ga salah kemdikbudristek ambisius program kampus merdeka,ceo tiktok konon magang kantor facebook ga salah kemdikbudristek ambisius program kampus merdeka
10,"@collegemenfess Kalau di kampus aku ada beberapa program magang. Dan salah satu yang unggulan itu program magang bumn sama program magang dari kampus merdeka ini. Kalau yang dari KM biasanya ada konversi sks nder, ini tergantung kampusnya juga sih",Mendukung,Kalau di kampus aku ada beberapa program magang. Dan salah satu yang unggulan itu program magang bumn sama program magang dari kampus merdeka ini. Kalau yang dari KM biasanya ada konversi sks nder ini tergantung kampusnya juga sih,Kalau di kampus aku ada beberapa program magang. Dan salah satu yang unggulan itu program magang bumn sama program magang dari kampus merdeka ini. Kalau yang dari KM biasanya ada konversi sks nder ini tergantung kampusnya juga sih,Kalau di kampus aku ada beberapa program magang Dan salah satu yang unggulan itu program magang bumn sama program magang dari kampus merdeka ini Kalau yang dari KM biasanya ada konversi sks nder ini tergantung kampusnya juga sih,"['Kalau', 'di', 'kampus', 'aku', 'ada', 'beberapa', 'program', 'magang', 'Dan', 'salah', 'satu', 'yang', 'unggulan', 'itu', 'program', 'magang', 'bumn', 'sama', 'program', 'magang', 'dari', 'kampus', 'merdeka', 'ini', 'Kalau', 'yang', 'dari', 'KM', 'biasanya', 'ada', 'konversi', 'sks', 'nder', 'ini', 'tergantung', 'kampusnya', 'juga', 'sih']",kampus program magang salah unggulan program magang bumn program magang kampus merdeka km konversi sks tergantung kampusnya sih,kampus program magang salah unggulan program magang bumn program magang kampus merdeka km konversi sks tergantung kampusnya sih,kampus program magang salah unggulan program magang bumn program magang kampus merdeka km konversi sks tergantung kampusnya sih,kampus program magang salah unggul program magang bumn program magang kampus merdeka km konversi sks gantung kampus sih
