,Label,preprocess_tweet,tweet_norm
0,Mendukung,ya gua bilang gantung kampus pas km aman jir karna emg yg program kampus merdeka naikin akreditasi fakultas yg minat,ya gua bilang gantung kampus pas km aman jir karna emg yg program kampus merdeka naikin akreditasi fakultas yg minat
1,Mendukung,kak ikut program bangkit salah lampir file sptjm kampus merdeka revisi sr sptjm gform document revision harap email kak,kak ikut program bangkit salah lampir file sptjm kampus merdeka revisi sr sptjm gform document revision harap email kak
2,Mendukung,kupu deket ama dosen haha karna fun fact tetep subjective nya temen angkat exchange bal self funded tu karna kenal dosen untung sabar ga program permata sakti kampus merdeka yg full funded,kupu deket ama dosen haha karna fun fact tetep subjective nya temen angkat exchange bal self funded tu karna kenal dosen untung sabar ga program permata sakti kampus merdeka yg full funded
3,Mendukung,sekian program kampus merdeka sih pmm tuh text hilang,sekian program kampus merdeka sih pmm tuh text hilang
4,Mendukung,tp mana gua syukur asa dibutuhin pas kampus merdeka kemarin temen gua sampe kali kali bilang makasih gua karna udah bantu program gua terharuu serius kayak orang yg ngerasa gua guna,tp mana gua syukur asa dibutuhin pas kampus merdeka kemarin temen gua sampe kali kali bilang makasih gua karna udah bantu program gua terharuu serius kayak orang yg ngerasa gua guna
5,Mendukung,id gin ya kak program kampus merdeka sedia perintah mas batasn kyk program studi sehat ga kampus merdeka kampus ga dukung ga buka kerjasama mahasiswa nya,id gin ya kak program kampus merdeka sedia perintah mas batasn kyk program studi sehat ga kampus merdeka kampus ga dukung ga buka kerjasama mahasiswa nya
6,Mendukung,program sampe kampus merdeka tukar mahasiswa negeri cari info bem hima nya deh staff akademik kampus disebarluaskan kampus info program tu tes interview nya,program sampe kampus merdeka tukar mahasiswa negeri cari info bem hima nya deh staff akademik kampus disebarluaskan kampus info program tu tes interview nya
7,Mendukung,program kampus merdeka lumayan uang jajan konversi sks ntar,program kampus merdeka lumayan uang jajan konversi sks ntar
8,Mendukung,ceo tiktok konon magang kantor facebook ga salah kemdikbudristek ambisius program kampus merdeka,ceo tiktok konon magang kantor facebook ga salah kemdikbudristek ambisius program kampus merdeka
9,Mendukung,kampus program magang salah unggul program magang bumn program magang kampus merdeka km konversi sks gantung kampus sih,kampus program magang salah unggul program magang bumn program magang kampus merdeka km konversi sks gantung kampus sih
10,Mendukung,ngide bgt join program kampus merdeka pusing,ngide bgt join program kampus merdeka pusing
11,Mendukung,nak magang w gaji bulan kemendikbud program kampus merdeka,nak magang w gaji bulan kemendikbud program kampus merdeka
12,Mendukung,gimiknya keren bet lanjut adik adik masuk program kampus merdeka,gimiknya keren bet lanjut adik adik masuk program kampus merdeka
13,Mendukung,senang syukur sempat ikut salah program kampus merdeka kemdikbud batch ga nyangka ga percaya proud of myself thanks for the hard work,senang syukur sempat ikut salah program kampus merdeka kemdikbud batch ga nyangka ga percaya proud of myself thanks for the hard work
14,Mendukung,program kampus merdeka aja,program kampus merdeka aja
15,Mendukung,sampe daftar program kampus merdeka omong bikin down gua ga klo daftar yg indeks prestasi gua cemas gua matkul ngulang ip gua ga matkul yg blm ambil,sampe daftar program kampus merdeka omong bikin down gua ga klo daftar yg indeks prestasi gua cemas gua matkul ngulang ip gua ga matkul yg blm ambil
16,Mendukung,cm mahasiswa kupu kupu terima magang merdeka magang program kampus merdeka ga yg ngalamin,cm mahasiswa kupu kupu terima magang merdeka magang program kampus merdeka ga yg ngalamin
17,Mendukung,dan cipeng bikin akun kampus merdeka gtliat jadwal registrasi periode program dll gtsiapin dokumen cth surat rekomendasi univ transkrip nilai dll gtupload dokumen gtpilih program magangstudi independendll gttunggu umum utk tesinterview,dan cipeng bikin akun kampus merdeka gtliat jadwal registrasi periode program dll gtsiapin dokumen cth surat rekomendasi univ transkrip nilai dll gtupload dokumen gtpilih program magangstudi independendll gttunggu umum utk tesinterview
18,Mendukung,gara ikut program kampus merdeka,gara ikut program kampus merdeka
19,Mendukung,mmd wajjb fardhu ain kras sender mmd thn dpn temenku mmd diswitch sm program kampus merdeka,mmd wajjb fardhu ain kras sender mmd thn dpn temenku mmd diswitch sm program kampus merdeka
